time,value
1,0.5097646603263514
2,0.25743413043163077
3,0.8226466858036103
4,0.3531240084042896
5,0.49712154175538015
6,0.6639837332836978
7,0.8316424582687854
8,0.6614487095820577
9,0.8198680446205074
10,0.34302074111172576
11,0.44616180678497586
12,0.305070101627569
13,0.7849541145260838
14,0.6893204368982837
15,0.17777843641838698
16,0.7303961508213295
17,0.23867989873485618
18,0.9402342147786005
19,0.6318414232156121
20,0.23595685216499385
21,0.16657748992516364
22,0.150390269579031
23,0.9349437989568733
24,0.20924705451736125
25,0.36477571438836043
26,0.2070614853921937
27,0.7389352659797295
28,0.4282188540369576
29,0.006432973137666664
30,0.30100078915330375
31,0.888221931464069
32,0.9338933857962137
33,0.9699823896370964
34,0.26570657404519993
35,0.5385943287310088
36,0.6270380131710506
37,0.6648491343687339
38,0.8041582440339812
39,0.19612099917853798
40,0.07673108285107288
41,0.49902503566005785
42,0.2263780312536613
43,0.2208264759318258
44,0.27393622633900894
45,0.0649658528643976
46,0.6110011275676263
47,0.2882569540346045
48,0.9710988531562637
49,0.2735974990254014
50,0.7778384975851135
51,0.172351112901581
52,0.9353328194332835
53,0.5145219541019467
54,0.7573921046024403
55,0.7206913793868226
56,0.5191497907216177
57,0.42388062695456274
58,0.8455215888390194
59,0.5426544111395648
60,0.32253768924858794
61,0.190588731395962
62,0.22325567660929913
63,0.44683244091269814
64,0.46540909372276007
65,0.5018629667704558
66,0.8766126728847915
67,0.2086273832533001
68,0.5107730556870077
69,0.8517650599677832
70,0.9591248427379997
71,0.3408297648892268
72,0.9153822613167935
73,0.006021854720593245
74,0.6783408127625044
75,0.2637475959458171
76,0.13874967062857146
77,0.9969733825491276
78,0.2270907000341431
79,0.46045217812599015
80,0.7988546508123929
81,0.2847671410066165
82,0.05166967468714401
83,0.595969019717348
84,0.47745922379970807
85,0.20061902455416236
86,0.4368847720034871
87,0.8324807017895999
88,0.2748805762442872
89,0.2641525738949133
90,0.7871391760435
91,0.011335142409282684
92,0.5895351170961123
93,0.7172199230894006
94,0.20920921681964966
95,0.3106988844632176
96,0.2559154450932777
97,0.20796560902762473
98,0.03142451676072311
99,0.6952095752459271
100,0.45325690527682405
